date,date,open,high,low,close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2019-02-17 00:00:00,2019-02-17 00:00:00,3617.22,3629.37,3615.08,3623.2,1078.919072,1550365199999.0,3908725.90169682,8288.0,551.706787,1999139.99880424,0.0
2019-02-17 01:00:00,2019-02-17 01:00:00,3623.47,3630.22,3615.05,3628.97,804.200962,1550368799999.0,2915157.382992,5614.0,415.190039,1505105.78906661,0.0
2019-02-17 02:00:00,2019-02-17 02:00:00,3628.0,3634.22,3624.13,3628.79,570.612853,1550372399999.0,2071130.30865114,5008.0,279.957131,1016216.69645202,0.0
2019-02-17 03:00:00,2019-02-17 03:00:00,3629.27,3632.88,3628.1,3629.15,530.084179,1550375999999.0,1924569.03824801,4505.0,215.291031,781710.30951611,0.0
2019-02-17 04:00:00,2019-02-17 04:00:00,3629.68,3641.61,3627.02,3640.0,725.495341,1550379599999.0,2635336.56567352,5855.0,413.605045,1502690.56855955,0.0
2019-02-17 05:00:00,2019-02-17 05:00:00,3639.57,3642.91,3633.0,3641.83,640.196546,1550383199999.0,2328929.4379227,5367.0,311.642297,1133812.88268965,0.0
2019-02-17 06:00:00,2019-02-17 06:00:00,3641.81,3644.44,3632.0,3638.27,666.708966,1550386799999.0,2425379.15074042,5185.0,374.045293,1360783.96967792,0.0
2019-02-17 07:00:00,2019-02-17 07:00:00,3638.33,3647.0,3635.96,3641.25,654.640434,1550390399999.0,2382930.76373659,5418.0,346.432541,1261205.22381692,0.0
2019-02-17 08:00:00,2019-02-17 08:00:00,3640.98,3644.96,3634.32,3636.69,652.211352,1550393999999.0,2373044.6490365,5584.0,303.964836,1105990.80954347,0.0
2019-02-17 09:00:00,2019-02-17 09:00:00,3636.69,3643.48,3635.44,3638.33,555.727572,1550397599999.0,2022465.73109114,4713.0,360.813139,1313190.51042755,0.0
2019-02-17 10:00:00,2019-02-17 10:00:00,3639.38,3700.11,3615.89,3626.58,4515.016981,1550401199999.0,16529129.02918852,22034.0,2518.367883,9228250.32437676,0.0
2019-02-17 11:00:00,2019-02-17 11:00:00,3626.76,3639.58,3620.0,3623.73,1569.475225,1550404799999.0,5697475.77409123,8788.0,677.430389,2459450.92369459,0.0
2019-02-17 12:00:00,2019-02-17 12:00:00,3623.73,3628.01,3610.38,3613.07,1895.400741,1550408399999.0,6860814.23179244,11180.0,705.503078,2554371.94178237,0.0
2019-02-17 13:00:00,2019-02-17 13:00:00,3613.07,3617.0,3604.4,3613.33,1384.052774,1550411999999.0,4998225.15808767,8627.0,649.743877,2346785.40209033,0.0
2019-02-17 14:00:00,2019-02-17 14:00:00,3613.8,3628.18,3612.32,3623.63,860.477704,1550415599999.0,3115827.17948895,7827.0,486.56974,1761892.49179926,0.0
2019-02-17 15:00:00,2019-02-17 15:00:00,3623.63,3628.85,3620.24,3622.42,552.928735,1550419199999.0,2004397.01671704,5856.0,246.604105,893991.22218139,0.0
2019-02-17 16:00:00,2019-02-17 16:00:00,3622.42,3631.99,3616.5,3621.52,730.164958,1550422799999.0,2646334.49574807,7488.0,324.478304,1176196.33179144,0.0
2019-02-17 17:00:00,2019-02-17 17:00:00,3621.52,3629.1,3620.4,3627.87,560.663567,1550426399999.0,2032633.48484111,5148.0,297.919178,1080212.3751633,0.0
2019-02-17 18:00:00,2019-02-17 18:00:00,3627.87,3628.43,3610.0,3616.24,659.389457,1550429999999.0,2386168.26297398,5919.0,248.609899,899594.68919192,0.0
2019-02-17 19:00:00,2019-02-17 19:00:00,3616.27,3625.0,3610.0,3622.4,678.676708,1550433599999.0,2455618.72903082,6266.0,352.987635,1277411.39345362,0.0
2019-02-17 20:00:00,2019-02-17 20:00:00,3622.48,3626.3,3615.0,3624.03,539.375404,1550437199999.0,1953663.20388905,5173.0,318.603913,1154087.2484821,0.0
2019-02-17 21:00:00,2019-02-17 21:00:00,3624.04,3647.1,3621.54,3628.9,1433.873931,1550440799999.0,5212575.47962098,8603.0,782.345383,2844346.64607371,0.0
2019-02-17 22:00:00,2019-02-17 22:00:00,3627.82,3654.83,3627.54,3641.27,1202.746606,1550444399999.0,4380191.48634802,8517.0,690.968526,2516668.26445719,0.0
2019-02-17 23:00:00,2019-02-17 23:00:00,3641.25,3685.0,3640.98,3667.58,2229.187711,1550447999999.0,8165710.67065461,12548.0,1131.384627,4144880.78094739,0.0
2019-02-18 00:00:00,2019-02-18 00:00:00,3667.62,3706.0,3655.0,3699.0,3801.550996,1550451599999.0,13972278.30398848,15537.0,2191.566619,8057834.98623316,0.0
2019-02-18 01:00:00,2019-02-18 01:00:00,3699.0,3773.85,3670.85,3692.96,5337.074288,1550455199999.0,19785575.95312962,25533.0,2329.177764,8643053.97378632,0.0
2019-02-18 02:00:00,2019-02-18 02:00:00,3692.98,3723.56,3687.38,3714.44,1657.743201,1550458799999.0,6142481.40134745,10178.0,778.471462,2884703.65951497,0.0
2019-02-18 03:00:00,2019-02-18 03:00:00,3714.8,3740.0,3711.46,3734.66,2265.239351,1550462399999.0,8445980.56900284,14818.0,1277.844014,4763898.33727636,0.0
2019-02-18 04:00:00,2019-02-18 04:00:00,3734.14,3741.16,3710.85,3719.81,1403.665685,1550465999999.0,5225369.34423361,10872.0,737.337809,2745037.33090356,0.0
2019-02-18 05:00:00,2019-02-18 05:00:00,3719.83,3722.54,3696.65,3720.78,1116.460876,1550469599999.0,4142651.27181339,8455.0,509.910593,1892324.27916321,0.0
2019-02-18 06:00:00,2019-02-18 06:00:00,3720.78,3737.62,3711.02,3732.23,1398.065971,1550473199999.0,5211385.84745527,9723.0,736.07488,2744268.6561265,0.0
2019-02-18 07:00:00,2019-02-18 07:00:00,3732.23,3761.29,3730.0,3731.69,2451.636269,1550476799999.0,9171790.54573863,14003.0,1285.766981,4811059.36009466,0.0
2019-02-18 08:00:00,2019-02-18 08:00:00,3732.17,3751.52,3728.1,3734.0,1395.580219,1550480399999.0,5219099.70987707,9910.0,687.786333,2572343.2940968,0.0
2019-02-18 09:00:00,2019-02-18 09:00:00,3733.47,3755.32,3733.06,3742.0,1929.914847,1550483999999.0,7223620.96825482,10233.0,1142.041489,4274437.19928706,0.0
